image,x,y
002_0.jpg,1150.5613,1404.2871
002_0.jpg,1096.9052,1404.5065
002_0.jpg,1044.4034,1404.6257
002_0.jpg,993.02136,1404.7556
002_0.jpg,942.9965,1404.9564
002_0.jpg,893.89484,1405.182
002_0.jpg,1628.5974,1318.6681
002_0.jpg,1563.33,1319.7075
002_0.jpg,1499.8717,1320.7212
002_0.jpg,1437.9613,1321.8005
002_0.jpg,1377.4606,1322.8191
002_0.jpg,1318.4669,1323.9681
002_0.jpg,1260.8514,1325.1213
002_0.jpg,1204.6049,1326.123
002_0.jpg,1149.5599,1327.2373
002_0.jpg,1095.7437,1328.2947
002_0.jpg,1043.4235,1329.2852
002_0.jpg,992.1863,1330.3455
002_0.jpg,942.123,1331.3083
002_0.jpg,893.1388,1332.349
002_0.jpg,1626.8665,1233.7944
002_0.jpg,1561.8654,1235.9376
002_0.jpg,1498.488,1238.0217
002_0.jpg,1436.6599,1240.1185
002_0.jpg,1376.2394,1242.099
002_0.jpg,1317.3074,1244.2272
002_0.jpg,1259.7151,1246.2952
002_0.jpg,1203.4609,1248.272
002_0.jpg,1148.0941,1250.2819
002_0.jpg,1094.4307,1252.167
002_0.jpg,1042.3785,1254.0732
002_0.jpg,991.2843,1255.9501
002_0.jpg,941.24347,1257.7617
002_0.jpg,892.2393,1259.5658
002_0.jpg,1625.1475,1149.0983
002_0.jpg,1560.351,1152.3042
002_0.jpg,1497.0353,1155.4581
002_0.jpg,1435.2843,1158.6146
002_0.jpg,1374.9757,1161.6007
002_0.jpg,1316.0437,1164.744
002_0.jpg,1258.6006,1167.7386
002_0.jpg,1202.3419,1170.584
002_0.jpg,1148.1705,1173.4614
002_0.jpg,1094.1869,1176.2998
002_0.jpg,1041.663,1178.9958
002_0.jpg,990.5435,1181.7454
002_0.jpg,940.4369,1184.3105
002_0.jpg,891.6461,1186.9136
002_0.jpg,1623.6714,1064.537
002_0.jpg,1558.761,1068.9059
002_0.jpg,1495.5863,1073.0828
002_0.jpg,1433.8688,1077.3258
002_0.jpg,1373.6738,1081.304
002_0.jpg,1314.8026,1085.369
002_0.jpg,1257.3809,1089.3446
002_0.jpg,1201.295,1093.1855
002_0.jpg,1146.5603,1096.8923
002_0.jpg,1093.0186,1100.5687
002_0.jpg,1040.7053,1104.1642
002_0.jpg,989.64764,1107.6722
002_0.jpg,939.6405,1111.0723
002_0.jpg,890.7485,1114.4252
002_0.jpg,1621.7852,980.2967
002_0.jpg,1557.1707,985.7147
002_0.jpg,1494.0867,990.9389
002_0.jpg,1432.4971,996.1652
002_0.jpg,1372.3685,1001.17944
002_0.jpg,1313.6669,1006.24194
002_0.jpg,1256.3174,1011.1033
002_0.jpg,1200.2788,1015.7976
002_0.jpg,1145.6097,1020.45825
002_0.jpg,1092.1438,1024.9281
